time,y,z,delta_y,delta_t,Vy,Impacto
0.0,-899.99908,979.99939,,,,
0.024,-899.99908,979.99939,0.0,0.024,0.0,-899.99908
0.048,-899.99908,979.99939,0.0,0.024,0.0,-899.99908
0.072,-899.95551,979.99945,0.043570000000045184,0.023999999999999994,1.8154166666685498,-899.2228251557877
0.096,-899.60999,979.99976,0.34551999999996497,0.024000000000000007,14.396666666665203,-893.7996327043395
0.12,-898.62994,980.00067,0.9800500000000056,0.023999999999999994,40.835416666666916,-882.1491554792407
0.144,-896.68463,980.00275,1.9453100000000632,0.023999999999999994,81.05458333333598,-863.9717735783081
0.168,-893.48645,980.00617,3.1981799999999794,0.02400000000000002,133.25749999999903,-839.7049945246657
0.192,-888.96234,980.0108,4.524109999999951,0.023999999999999994,188.5045833333313,-812.8836888513738
0.216,-883.11377,980.0166,5.848569999999995,0.023999999999999994,243.69041666666652,-784.7626430936415
0.24,-875.94037,980.02338,7.173400000000015,0.023999999999999994,298.8916666666674,-755.3105453163466
0.264,-867.4419,980.03113,8.498469999999998,0.02400000000000002,354.10291666666626,-724.5293416344713
0.288,-857.61804,980.03961,9.823860000000082,0.023999999999999966,409.32750000000397,-692.4173667464852
0.312,-846.46851,980.04871,11.149529999999913,0.02400000000000002,464.563749999996,-658.9750133031591
0.336,-833.99304,980.05823,12.475470000000087,0.02400000000000002,519.8112500000032,-624.2021794671728
0.36,-820.19141,980.06812,13.801629999999932,0.023999999999999966,575.0679166666647,-588.099486051992
0.384,-805.06342,980.07813,15.127990000000068,0.02400000000000002,630.3329166666689,-550.6670693829894
0.408,-788.60883,980.0882,16.45458999999994,0.023999999999999966,685.6079166666651,-511.9040168094089
0.432,-770.82758,980.09815,17.78125,0.02400000000000002,740.8854166666661,-471.81329525968107
0.456,-751.71954,980.10785,19.10803999999996,0.02400000000000002,796.1683333333309,-430.3935975949728
0.48,-731.28479,980.11713,20.434750000000008,0.023999999999999966,851.4479166666682,-387.6485352317892
0.504,-709.52319,980.12585,21.761600000000044,0.02400000000000002,906.7333333333344,-343.574268590935
0.528,-686.43494,980.13385,23.088250000000016,0.02400000000000002,962.0104166666665,-298.1767152038988
0.552,-662.02008,980.14093,24.414859999999976,0.02400000000000002,1017.2858333333314,-251.45322446762657
0.576,-636.27881,980.14691,25.741269999999986,0.02399999999999991,1072.5529166666702,-203.40668698516913
0.6,-609.21149,980.15149,27.067319999999995,0.02400000000000002,1127.8049999999987,-154.04015335958798
0.624,-580.81842,980.15454,28.39307000000008,0.02400000000000002,1183.0445833333356,-103.35291461473003
0.648,-551.10004,980.15582,29.71837999999991,0.02400000000000002,1238.2658333333286,-51.34776502827572
0.672,-520.05695,980.15503,31.043090000000007,0.02400000000000002,1293.4620833333324,1.9720047967296068
0.696,-487.68976,980.15198,32.36719000000005,0.02399999999999991,1348.6329166666737,56.60561669759227
0.72,-453.99936,980.14648,33.690399999999954,0.02400000000000002,1403.7666666666635,112.54747211895824
0.744,-418.98663,980.13837,35.01273000000003,0.02400000000000002,1458.86375,169.79685922353133
0.768,-382.65265,980.12769,36.33398,0.02400000000000002,1513.9158333333319,228.3493347574862
0.792,-344.9986,980.11444,37.654049999999984,0.02400000000000002,1568.918749999998,288.2020370939164
0.816,-306.0257,980.09888,38.97290000000004,0.02399999999999991,1623.870833333341,349.353073582062
0.84,-265.73532,980.08154,40.29037999999997,0.02400000000000002,1678.7658333333306,411.79855178154753
0.864,-224.12866,980.06311,41.606660000000005,0.02400000000000002,1733.610833333332,475.5401304581309
0.888,-181.20691,980.04468,42.92175,0.02400000000000002,1788.4062499999986,540.5767877744976
0.912,-136.97098,980.02747,44.235929999999996,0.02400000000000002,1843.1637499999981,606.912322285993
0.936,-91.42226,980.01324,45.54872,0.02400000000000002,1897.8633333333319,674.5372721834551
0.96,-44.68975,980.00378,46.73251,0.02399999999999991,1947.1879166666738,741.1767133684283
0.984,2.66226,980.00104,47.35200999999999,0.02400000000000002,1973.0004166666647,798.9464020691137
1.008,49.97764,980.00555,47.315380000000005,0.02400000000000002,1971.474166666665,845.6458021323805
1.032,96.60244,980.01648,46.6248,0.02400000000000002,1942.6999999999982,880.6576230248392
1.056,142.00655,980.0318,45.40411,0.02400000000000002,1891.837916666665,905.5342815104823
1.08,186.09541,980.04962,44.08885999999998,0.02400000000000002,1837.035833333331,927.505543591061
1.104,228.87003,980.06842,42.77462000000003,0.02400000000000002,1782.275833333333,948.1795501034208
1.128,270.32938,980.08691,41.45935,0.0239999999999998,1727.4729166666812,967.520965858624
1.152,310.47229,980.10413,40.14290999999997,0.02400000000000002,1672.6212499999974,985.5262665789801
1.176,349.29748,980.11938,38.82519000000002,0.02400000000000002,1617.7162499999995,1002.1923224749098
1.2,386.80365,980.1322,37.50617,0.02400000000000002,1562.7570833333318,1017.5174972210225
1.224,422.9895,980.14246,36.185850000000016,0.02400000000000002,1507.7437499999994,1031.5004908173203
1.248,457.85394,980.15008,34.86444,0.02400000000000002,1452.6849999999988,1044.1437446803102
1.272,491.39587,980.15509,33.54192999999998,0.02400000000000002,1397.5804166666646,1055.445990647302
1.296,523.61444,980.15765,32.21856999999994,0.02400000000000002,1342.4404166666632,1065.4105827855678
1.32,554.50879,980.15802,30.89435000000003,0.02400000000000002,1287.2645833333336,1074.0364929324194
1.344,584.07831,980.15637,29.56952000000001,0.02400000000000002,1232.0633333333328,1081.3273151551246
