time,y,z,delta_y,delta_t,Vy,Impacto
0.0,-899.99933,580.00153,,,,
0.024,-899.99933,580.00153,0.0,0.024,0.0,-899.99933
0.048,-899.99933,580.00153,0.0,0.024,0.0,-899.99933
0.072,-899.95569,580.00128,0.04363999999998214,0.023999999999999994,1.8183333333325895,-899.4371102119959
0.096,-899.61017,580.00092,0.34551999999996497,0.024000000000000007,14.396666666665203,-895.504310963537
0.12,-898.63007,580.00055,0.9800999999999931,0.023999999999999994,40.83749999999972,-886.983414403688
0.144,-896.68445,580.00024,1.9456200000000763,0.023999999999999994,81.06750000000321,-873.564394841039
0.168,-893.48578,580.00024,3.198669999999993,0.02400000000000002,133.27791666666624,-855.4755689437245
0.192,-888.961,580.00037,4.524779999999964,0.023999999999999994,188.53249999999855,-835.1924515773077
0.216,-883.11169,580.00055,5.8493100000000595,0.023999999999999994,243.72125000000256,-813.6035795561012
0.24,-875.93762,580.00073,7.174069999999915,0.023999999999999994,298.91958333332985,-790.6872144150251
0.264,-867.43854,580.00098,8.499080000000049,0.02400000000000002,354.12833333333504,-766.4428684914755
0.288,-857.6142,580.00122,9.824340000000007,0.023999999999999966,409.3475000000009,-740.8702917854573
0.312,-846.46442,580.00153,11.149779999999964,0.02400000000000002,464.5741666666648,-713.9701361160612
0.336,-833.98895,580.00177,12.475469999999973,0.02400000000000002,519.8112499999984,-685.741319664194
0.36,-820.18756,580.00207,13.801390000000083,0.023999999999999966,575.057916666671,-656.1838500924524
0.384,-805.06012,580.00244,15.127439999999979,0.02400000000000002,630.3099999999986,-625.2987857138298
0.408,-788.60632,580.00275,16.4538,0.023999999999999966,685.5750000000011,-593.0836775649417
0.432,-770.82611,580.00305,17.78021000000001,0.02400000000000002,740.8420833333331,-559.5415652595606
0.456,-751.7193,580.00336,19.106809999999996,0.02400000000000002,796.1170833333324,-524.670595159502
0.48,-731.28589,580.00372,20.43340999999998,0.023999999999999966,851.3920833333337,-488.47302505944276
0.504,-709.52582,580.00403,21.76007000000004,0.02400000000000002,906.6695833333342,-450.9480819715909
0.528,-686.43909,580.00427,23.08672999999999,0.02400000000000002,961.947083333332,-412.09647888373985
0.552,-662.0257,580.00458,24.413389999999936,0.02400000000000002,1017.2245833333297,-371.9182157958889
0.576,-636.28589,580.00476,25.739810000000034,0.02399999999999991,1072.4920833333388,-330.416384659206
0.6,-609.21985,580.00494,27.066040000000044,0.02400000000000002,1127.7516666666675,-287.5905813172044
0.624,-580.82782,580.00513,28.392029999999977,0.02400000000000002,1183.001249999998,-243.4416399263738
0.648,-551.11023,580.00519,29.717589999999973,0.02400000000000002,1238.2329166666643,-197.97224828139127
0.672,-520.06757,580.00525,31.042659999999955,0.02400000000000002,1293.4441666666637,-151.18360937005048
0.696,-487.7005,580.00519,32.36707000000007,0.02399999999999991,1348.6279166666745,-103.07840332442777
0.72,-454.00983,580.005,33.690669999999955,0.02400000000000002,1403.7779166666635,-53.65922261401499
0.744,-418.99646,580.00476,35.01337000000001,0.02400000000000002,1458.8904166666657,-2.928036720491207
0.768,-382.66153,580.00446,36.334929999999986,0.02400000000000002,1513.9554166666646,49.11116240496739
0.792,-345.00623,580.00403,37.65530000000001,0.02400000000000002,1568.9708333333324,102.45659060586826
0.816,-306.03192,580.00348,38.97431,0.02399999999999991,1623.9295833333395,157.1048677501327
0.84,-265.74002,580.00293,40.2919,0.02400000000000002,1678.829166666665,213.05386084996206
0.864,-224.13191,580.00226,41.60811000000001,0.02400000000000002,1733.671249999999,270.3026652305581
0.888,-181.20891,580.00159,42.923,0.02400000000000002,1788.458333333332,328.85067387971094
0.912,-136.97203,580.00098,44.23688000000001,0.02400000000000002,1843.2033333333322,388.7005605676843
0.936,-91.42275,580.00043,45.549279999999996,0.02400000000000002,1897.8866666666647,449.8452602234335
0.96,-44.69003,580.00006,46.73271999999999,0.02399999999999991,1947.1966666666738,510.6409514497391
0.984,2.66192,580.0,47.35195,0.02400000000000002,1972.997916666665,565.3512919659129
1.008,49.97722,580.00018,47.3153,0.02400000000000002,1971.4708333333317,612.2310752557763
1.032,96.6021,580.00055,46.62487999999999,0.02400000000000002,1942.703333333331,650.6516047233755
1.056,142.00661,580.0011,45.40451,0.02400000000000002,1891.8545833333317,681.5542995105694
1.08,186.09622,580.00177,44.08960999999999,0.02400000000000002,1837.0670833333313,710.0187820301176
1.104,228.87184,580.00244,42.77562,0.02400000000000002,1782.3174999999985,737.1800881978576
1.128,270.33243,580.00311,41.460589999999996,0.0239999999999998,1727.5245833333477,763.0140059105257
1.152,310.47662,580.00366,40.14419000000004,0.02400000000000002,1672.6745833333334,787.5152437352485
1.176,349.30307,580.00415,38.826449999999966,0.02400000000000002,1617.7687499999972,810.682818165934
